word,category,category_id,category_count
fuer Maschinen, Apparate und Geraete fuer die Gefluegelhaltung und -zucht,1--SOC--Agriculture--agriculture,1,1
Spritz-, Sprueh- und Staeubegeraete , fuer Schlepperanbau oder Schlepperzug,1--SOC--Agriculture--agriculture,1,1
Andere Maschinen fuer die Land- und Forstwirtschaft , a.n.g,1--SOC--Agriculture--agriculture,1,1
Schrot- und andere Muehlen fuer Getreide, Huelsenfruechte u.ae. Erzeugnisse,1--SOC--Agriculture--agriculture,1,1
mit einer Motorleistung von mehr als 90 kW,1--SOC--Agriculture--agriculture,1,1
Bodenbearbeitungsmaschinen fuer die Land- und Forstwirtschaft , a.n.g,1--SOC--Agriculture--agriculture,1,1
Andere Erntemaschinen, -apparate und -geraete, Dreschmaschinen und -geraete,1--SOC--Agriculture--agriculture,1,1
Anhaenger fuer landwirtschaftliche Zwecke, mit Selbstlade- und Selbstentladevorrichtungen,1--SOC--Agriculture--agriculture,1,1
Andere Maschinen, Apparate und Geraete fuer die Gefluegelhaltung,1--SOC--Agriculture--agriculture,1,1
fuer mineralische und chemische Duengemittel, auch Anhaenge-Schleuderduengestreuer,1--SOC--Agriculture--agriculture,1,1
Maschinen zum Ernten von Wurzeln oder Knollenfruechten,1--SOC--Agriculture--agriculture,1,1
Maschinen, Apparate und Geraete fuer die Futterbereitung,1--SOC--Agriculture--agriculture,1,1
Maschinen und Geraete zum Fuettern und Traenken,1--SOC--Agriculture--agriculture,1,1
Teile fuer Ernte- und Dreschmaschinen , a.n.g,1--SOC--Agriculture--agriculture,1,1
Teile fuer Melk- und Molkereimaschinen , a.n.g,1--SOC--Agriculture--agriculture,1,1
Maschinen fuer die Land- und Forstwirtschaft,1--SOC--Agriculture--agriculture,1,1
Acker- und Forstschlepper , sonstige Zugmaschinen,1--SOC--Agriculture--agriculture,1,1
Eggen, Grubber , Jaetmaschinen und Hackmaschinen,1--SOC--Agriculture--agriculture,1,1
mit Verbrennungsmotor, mit horizontal rotierendem Schneidwerk,1--SOC--Agriculture--agriculture,1,1
Rech- und Zettwender , einschl. Kreiselzettwender,1--SOC--Agriculture--agriculture,1,1
Brut- und Aufzuchtapparate fuer die Gefluegelhaltung,1--SOC--Agriculture--agriculture,1,1
fuer andere Erntemaschinen, -apparate und -geraete,1--SOC--Agriculture--agriculture,1,1
Einzelkorndrillgeraete und -maschinen, andere Saemaschinen,1--SOC--Agriculture--agriculture,1,1
Einzelkorndrillgeraete und -maschinen mit Zentralantrieb,1--SOC--Agriculture--agriculture,1,1
mit Verbrennungsmotor, mit anderem Schneidwerk,1--SOC--Agriculture--agriculture,1,1
Maehmaschinen fuer Schlepperanbau und -zug,1--SOC--Agriculture--agriculture,1,1
