Konjunktionen;Personalpronomen;Possessivpronomen;Indefinitpronomen;Reflexivpronomen;Relativpronomen;Artikel;Demonstrativpronomen;Praepositionen;Abkuerzungen;Hilfsverben;Adverbien;Präpositionen;Adverben, Konjunktionaladverben;Lokaladverbien;Modaladverben;Kausaladverben;Satzadverb;Temproaladverb;Frageadverben;Gradpartikel;Fokuspartikel;Abtönungspartikel;Konjunktionen;Interjektionen;Zahlwörter;Funktionsverben
aber;ich;mein;jemandem;mich;welcher;der;dieser;in;bzw;wurde;vorher;à;Dafuer;hier;bald;daher;anfangs;bald;wo woher;absolut;allein;aber;aber;hatschi;null;in Bewegung sein
als;meiner;deine;jedem;dich;dessen;die;derjenige;bei;bzw.;würde;nachher;ab;Dagegen;da;damals;darum;also;damals;wohin;außerordentlich;allenfalls;auch;allein;hick;eins;zu Ende sein
als dass;mir;meines;jeder;mir;welchem;das;derselbe;an;bzgl.;wurden;später;abseits;Daher;dort;dann;demnach;allerdings;dann;wann;außergewöhnlich;auch;bloß;außer;haha;zwei;in Gang sein
als wenn;mich;deiner;einem;dir;welchen;dessen;dieses;von;bzgl;hat;früher;abzüglich;DemB;draußen;eben;deshalb;anscheinend;eben;wie lange;äußerst;ausgerechnet;denn;beziehungsweise;hihi;drei;in Druck sein
anstatt dass;du;meinem;jemand;sich;welche;dem;desjenigen;zu;u.a.;hatte;;als;Demnach;drinnen;endlich;deswegen;hoffentlich;endlich;wie oft;einigermaßen;bereits;doch;denn;kikeriki;vier;sich in Abhängigkeit befinden     
statt dass;deiner;deinen;jede;uns;deren;den;desselben;unter;z.B.;hätte;;an;kopulativ;drüben;eher;infolgedessen;selbstredend;eher;wie;enorm;besonders;eben;doch;miau;fünf;in Verlegenheit sein
auch;dir;meinen;jedes;euch;welches;ein;diesem;auf;usw.;wollen;;anfangs;außerdem;oben;heutzutage;nämlich;sicherlich;heutzutage;warum;etwas;bestenfalls;eigentlich;hingegen;muh;sechs;
außer;dich;dein;man;sich;;dem;demjenigen;hinter;usw.;wollten;;angelegentlich;zudem;unten;inzwischen;somitwarum;wahrlich;inzwischen;weshalb;extrem;bloß;etwa;jedoch;wau;sieben    ;zur Verfügung stehen
bevor;er;meiner;jemanden;;;das;demselben;vor;zB.;wollte;;angesichts;dazu;innen;jetzt;weshalb;zweifellos;jetzt;weswegen;ganz;einzig;halt;oder;boing;acht;in Scheidung liegen
beziehungsweise;seiner;deins;jeden;;;der;diesen;;zB;sollen;;anhand;daneben;außen;mittlerweile;weswegen;zweifelsohne;mittlerweile;wieso;höchst;erst;ja;sondern;klacks;neun;in Bewegung kommen
bis;ihm;deines;einen;;;den;denjenigen;;zZ;sollte;;anlässlich;darüber hinaus;vorn;neulich;wieso;ärgerlicherweise;neulich;wozu;kaum;gerade;mal;sowie;klingeling;zehn       ;zu Ende gehen
da;ihn;seine;einer;;;an;denselben;;zZt;sollten;;anstatt;desgleichen;hinten;nun;notfalls;bedauerlicherweise;nun;woran;komplett;lediglich;nur;und;peng;elf;in Gang kommen
dass;sie;seiner;eine;;;am;diese;;z.Z.;war;;anstelle;ebenso;links;schließlich;nötigenfalls;begreiflicherweise;schließlich;womit;recht;mindestens;ruhig;wie;auweh;zwölf  ;in Druck gehen
denn;ihrer;deinem;eines;;;ansaufaufsbei;diejenige;;z.Zt.;sind;;auf;ferner;rechts;seither;schlimmstenfalls;erfreulicherweise;seither;wofür;sehr;nur;schon;als;oje;hundert   ;in Abhängigkeit geraten        
dessen;ihr;seinen;einem;;;beimdurchdurchsfürfürshinter;dieselbe;;zzgl.;wird;;auf Grund;weiter;überall;seitdem;sonst;freundlicherweise;seitdem;worüber;total;selbst;überhaupt;als dass;äks;tausend  ;in Verlegenheit geraten 
desto;es;sein;einen;;;hintermhintershinternin;dieser;;v.a.;werden;;aus;zusätzlich;irgendwo;vorerst;ansonsten;glücklicherweise;vorerst;wovon usw;überaus;sogar;vielleicht;als ob;igitt;weifach;zum Ausdruck kommen
doch;wir;seins;keine;;;im;derjenigen;;v.A.;worden;;ausgenommen;daneben;anderswo;vorhin;keinesfalls;klugerweise;vorhin;;ungemein;vor allem;wohl;als wenn;pfui;dreifach;in Bewegung bringen
damit;unser;seines;keiner;;;insüber;derselben;;va;geworden;;ausschließlich;darüber;nebenan;zugleich;dennoch;;zugleich;;ungewöhnlich;wenigstens;;anstatt;heißa;vierfach;zu Ende bringen
ehe;uns;ihre;keinem;;;überm;dieses;;vA;gesollt;;außer;darunter;auswärts;zuletzt;dessenungeachtet;;zuletzt;;völlig;zumindest;;anstatt dass ;hurra;fünffach;in Gang bringen
entweder;euer;ihrer;keines;;;übersübern;dasjenige;;u.a.;gehabt;;außerhalb;dazwischen;hierhin;heute;gleichwohl;;heute;;weit;;;außer dass;juchhe;hundertfach;in Druck geben
falls;euch;seinem;;;;umumsunter;dasselbe;;u.A.;würden;;bar;temporal davor;dahin;morgen;trotzdemBezeichnung des Zwecks;;morgen;;weitaus;;;außer wenn   ;au;tausendfach;in Abhängigkeit bringen
ferner;ihnen;ihren;;;;unterm;diejenigen;;ua;hätten;;behufs;währenddessen;dorthin;gestern;dazu;;gestern;;ziemlich;;;bevor;aua;vielfach;in Verlegenheit bringen
geschweige;;ihr;;;;untersuntern;dieselben;;uA;können;;bei;indessen;hierher;übermorgen;darum;;übermorgen;;zu;;;bis;autsch;mehrfach;zum Ausdruck bringen
hingegen;;ihres;;;;von;diesen;;abzgl.;könnten;;betreffs;danach;daher;nie;deshalb;;nie;;fast;;;da;nanu;mannigfach ;zur Verfügung stellen
indem;;ihrem;;;;vomvor;;;z.T.;könnte;;bezüglich;anschließend;dorther;niemals;deswegenFrage;;niemals;;;;;damit;hm;zweimalig;
indessen;;unsere;;;;vorm;;;zT;wären;;binnen;kausal;hinein;wann;warum;;wann;;;;;dass;donnerlittchen;dreimalig;
insofern;;unserer;;;;vorszu;;;i.V.;wäre;;bis;folglich;hinaus;immer;wozu;;stets;;;;;ehe;;viermalig;
sofern;;unseren;;;;zumzur;;;iV;müssen;;bis an;demzufolge;hinüber;stets;;;lange;;;;;falls;;fünfmalig;
insoweit;;unser;;;;das;;;Nr.;gemusst;;bis auf;demnach;herein;lange;;;noch;;;;;geschweige  ;;hundertmalig;
soweit;;unseres;;;;die;;;Nr;mussten;;bis in;damit;heraus;noch;;;zeitlebens;;;;;gleichwie;;tausendmalig;
je;;eure;;;;die;;;Bsp.;musste;;bis nach;somit;herüber;zeitlebens;;;nie;;;;;indem;;mannigfaltig;
jedoch;;eurer;;;;ein;;;Bsp;müsste;;bis vor;mithin;hinauf;bisweilen;;;niemals;;;;;indes;;vielmalig;
nachdem;;unserem;;;;ein;;;ggf.;dürfe;;bis zu;also;hinunter;häufig;;;wie lange;;;;;indessen;;mehrmalig;
nur;;euren;;;;eine;;;ggf;dürfte;;dank;deswegen;herauf;manchmal;;;bisweilen;;;;;insofern;;vielfältig;
sondern;;euer;;;;dieser;;;u.;gedurft;;diesseits;deshalb;herunter;mehrmals;;;häufig;;;;;insoweit;;einerlei ;
ob;;eures;;;;dieses;;;allg. ;dürften;;durch;daher;irgendwohin;oft;;;manchmal;;;;;je;;zweierlei ;
obgleich;;eurem;;;;diese;;;bzw. ;durften;;einbezüglich;nämlich;irgendwoher;selten;;;mehrmals;;;;;nachdem;;dreierlei ;
obschon;;meine;;;;diese;;;bspw. ;;;eingedenk;nicht vorfeldfähig;anderswohin;abends;;;oft;;;;;ob;;viererlei ;
obwohl;;meins;;;;jener;;;b.w. ;;;einschließlich;konditional;anderswoher;nachts;;;selten;;;;;obgleich;;hunderterlei ;
;;;;;;jenes;;;d. h. ;;;entgegen;bedingend;aufwärts;vormittags;;;abends;;;;;obschon;;tausenderlei   ;
;;;;;;jene;;;d. i. ;;;entlang;konsekutiv ;abwärts;montags;;;nachts;;;;;obwohl;;allerlei ;
;;;;;;jene;;;etc. ;;;entsprechend;folgend;seitwärts;dienstags;;;vormittags;;;;;obzwar;;keinerlei ;
;;;;;;derjenige;;;evtl.;;;exklusive;notfalls;vorwärts;einmal;;;montags;;;;;ohne dass   ;;mancherlei ;
;;;;;;diejenige;;;geb. ;;;fern;sonst;rückwärts;zweimal;;;dienstags;;;;;seit;;mehrerlei ;
;;;;;;dasjenige;;;ggf.;;;fernab;ansonsten;heimwärts;dreimal;;;einmal;;;;;seitdem;;vielerlei ;
;;;;;;diejenigen;;;n. Chr. ;;;frei;andernfalls;bergwärts;wie lange;;;zweimal;;;;;sobald;;alle;
;;;;;;derselbe;;;od. ;;;für;gegebenenfalls;flussaufwärts;wie oftanders;;;dreimal;;;;;sodass;;viele Arten von;
;;;;;;dieselbe;;;s. ;;;gegen;so;bergauf;gern;;;wie oft;;;;;sofern;;manche;
;;;;;;dasselbe;;;s. a. ;;;gegenüber;dann;bergab;so;;;anfangs;;;;;solange;;mehrere Arten von;
;;;;;;dieselben;;;s.o. ;;;gelegentlich;konzessiv;;folgendermaßen;;;;;;;;sooft;;viele Arten von;
;;;;;;dergleichen;;;s.u. ;;;gemäß;einräumend;;blindlings;;;;;;;;soviel;;viele Arten von;
;;;;;;derlei;;;u. ;;;getreu;trotzdem;;jählings;;;;;;;;soweit;;keine Art von;
;;;;;;mein;;;u. a. ;;;gleich;dennoch;;eilends;;;;;;;;sowenig;;eine Art von;
;;;;;;dein;;;u. Ä. ;;;halber;dessen ungeachtet;;vergebens;;;;;;;;sowie;;zwei Arten von;
;;;;;;sein;;;u.U. ;;;hinsichtlich;gleichwohl;;derart;;;;;;;;statt;;drei Arten von;
;;;;;;sein;;;u.z. ;;;hinter;immerhin;;genauso;;;;;;;;statt dass;;vier Arten von;
;;;;;;ihr;;;usw. ;;;in;allerdings;;irgendwiehinterrücks;;;;;;;;trotzdem;;hundert Arten von;
;;;;;;unser;;;v. a. ;;;In punkto;sowieso;;kopfüber;;;;;;;;während;;tausend Arten von;
;;;;;;eurer;;;v. Chr. ;;;In Sachen;nichtsdestoweniger;;rundweg;;;;;;;;weil;;;
;;;;;;ihr;;;vgl. ;;;infolge;spezifizierend;;einigermaßen;;;;;;;;wenn;;;
;;;;;;dessen;;;z. B. ;;;inklusive;restriktiv;;haufenweise;;;;;;;;wenn auch;;;
;;;;;;deren;;;z.T.;;;inmitten;explikativ;;größtenteilssehr;;;;;;;;wenngleich ;;;
;;;;;;Interrogativartikel;;;z.Zt. ;;;innerhalb;insofern;;kaum;;;;;;;;wie;;;
;;;;;;welcher;;;ggfls;;;je;so weit;;überaus;;;;;;;;wie wenn;;;
;;;;;;welches;;;;;;jenseits;freilich;;äußerst;;;;;;;;wiewohl;;;
;;;;;;welche;;;;;;kontra;adversativ;;auch;;;;;;;;wo;;;
;;;;;;welcher;;;;;;kraft;entgegengesetzt;;außerdem;;;;;;;;wohingegen  ;;;
;;;;;;wessen;;;;;;lang;hingegen;;ferner;;;;;;;;zumal;;;
;;;;;;Indefinitartikel;;;;;;längs;dagegen;;ebenfalls;;;;;;;;sobald;;;
;;;;;;aller;;;;;;laut;jedoch;;sonst;;;;;;;;entweder;;;
;;;;;;alles;;;;;;links;doch;;zudem;;;;;;;;nicht nur;;;
;;;;;;alle;;;;;;mangels;dennoch;;erstens;;;;;;;;sowohl;;;
;;;;;;alle;;;;;;minus;indes;;zweitens;;;;;;;;sowohl;;;
;;;;;;einiger;;;;;;mit;indessen;;drittensallerdings;;;;;;;;wie auch;;;
;;;;;;einiges;;;;;;mitsamt;allerdings;;doch;;;;;;;;sondern auch;;;
;;;;;;einige;;;;;;mittels;nur;;hingegen;;;;;;;;noch;;;
;;;;;;einige;;;;;;nach;vielmehr;;immerhin;;;;;;;;weder;;;
;;;;;;etlicher;;;;;;nächst;demgegenüber;;jedoch;;;;;;;;als auch;;;
;;;;;;etliches;;;;;;nah;stattdessen;;nur;;;;;;;;anstatt zu;;;
;;;;;;etliche;;;;;;namens;aber nicht vorfeldfähig;;wenigstens;;;;;;;;außer zu;;;
;;;;;;etliche;;;;;;neben;einerseits;;zumindest;;;;;;;;statt zu;;;
;;;;;;irgendein;;;;;;nebst;andererseits;;kürzlich;;;;;;;;ohne zu;;;
;;;;;;irgendein;;;;;;ob;additiv;;;;;;;;;;um zu;;;
;;;;;;irgendeine;;;;;;oberhalb;Anreihung;;;;;;;;;;Desweiteren;;;
;;;;;;irgendwelcher;;;;;;ohne;und so;;;;;;;;;;desweiteren;;;
;;;;;;irgendwelches;;;;;;per;weder;;;;;;;;;;;;;
;;;;;;irgendwelche;;;;;;plus;noch;;;;;;;;;;;;;
;;;;;;irgendwelche;;;;;;pro;nicht nur;;;;;;;;;;;;;
