"","c1__ACC__arts_and_crafts_multimedia","c10__CE__climate_protection_general_and_strategy","c100__LEV__countries_not_Germany","c101__LEV__EU","c102__LEV__fed_state_BAY","c103__LEV__fed_state_BER","c104__LEV__fed_state_BRAND","c105__LEV__fed_state_BRE","c106__LEV__fed_state_BW","c107__LEV__fed_state_HES","c108__LEV__fed_state_HH","c109__LEV__fed_state_MV","c110__LEV__fed_state_NIS_cities","c111__LEV__fed_state_NIS_state","c112__LEV__fed_state_NRW","c113__LEV__fed_state_RPF","c114__LEV__fed_state_SA","c115__LEV__fed_state_SAAH","c116__LEV__fed_state_SAL","c117__LEV__fed_state_SH","c118__LEV__fed_state_THU","c119__LEV__international","c12__CE__ecological_action","c120__LEV__municipality_city_districts","c121__LEV__national","c122__LEV__offshore","c123__LEV__onshore","c124__LEV__regional","c125__LEV__regions_areas_Germany_TBC","c126__OCM__military_war","c127__OCM__security_observation_technologies_services","c128__PAL__execution_of_law_police","c129__PAL__federal_national_administration_ministries","c13__CE__emissions_harmful_substances_immissions","c130__PAL__land_use_coordination_specific_areas","c131__PAL__law","c132__PAL__law_EU_world","c133__PAL__local_administration_bodies","c134__PAL__planning_formal","c135__PAL__politics","c136__PAL__public_utilities","c137__PSY__psychology_consciousness_motivation","c138__PSY__religion","c139__RAP__population_general","c14__CE__environment_physical","c140__RAP__rental_of_houses","c141__RAP__residential_area","c142__RAP__social_groups","c143__RED__education_formative","c144__RED__education_nonformative_events_locations","c145__RED__knowledge_RnD","c146__RES__resources_extraction","c147__RES__resources_raw_materials_anorganic_non_energy","c148__RES__resources_raw_materials_organic_non_energy","c149__SUST__consistency_life_cycle","c15__CE__environmental_management_and_technology","c150__SUST__consistency_maintenance_reanimation","c151__SUST__consistency_recycling","c152__SUST__consistency_regeneration","c153__SUST__efficiency_control","c154__SUST__efficiency_optimization","c155__SUST__efficiency_progress","c156__SUST__efficiency_storage","c157__SUST__energy_electricity_sector","c158__SUST__energy_heat_cold_sector","c159__SUST__sufficiency__saving","c16__CF__consumer_goods_objects","c160__SUST__sufficiency_avoidance","c161__SUST__sufficiency_decrease_rational_use","c162__SUST__sufficiency_limit_sufficiency","c163__SUST__sufficiency_prohibition","c164__SUST__sufficiency_switch_off","c165__SUST__sustainability_general","c166__SUST__sustainability_uncertainty_risks_accidents","c167__TEC__technology_associations","c168__TEC__technology_general","c17__CF__consumption_general","c18__CPR__citizen_participation","c19__CPR__communication_objects","c2__AFLV__agriculture","c20__CPR__fairs","c21__CPR__media_press_electronic_print","c22__CPR__meetings_networks","c23__CPR__public_competitions_labelling","c24__CPR__publicity_campaigns_information","c25__EN__carrier_oil_gas_coal_fuel","c26__EN__carrier_unspecific","c27__EN__consumption","c28__EN__conversion","c29__EN__conversion_combined_heat_power","c3__AFLV__domesticated_animals_veterinary","c30__EN__conversion_heat_pump","c31__EN__distribution","c32__EN__energy_heat_cold_electricity_general","c33__EN__energy_resources","c34__EN__general","c35__EN__sales","c36__EN__saving","c37__EN__spec__building_energetic_rehabilitation","c38__EN__spec__building_standards","c39__EN__spec__climatisation_active_heat_cold","c4__AFLV__fishery","c40__EN__spec__conversion_conv","c41__EN__spec__conversion_nucl","c42__EN__spec__conversion_renew","c43__EN__spec__detailed_PPtechnology","c44__EN__spec__distribution_elec","c45__EN__spec__distribution_gas_oil","c46__EN__spec__distribution_heat","c47__EN__spec__household_and_office_appliances","c48__EN__spec__mobility_bike_and_by_foot","c49__EN__spec__mobility_biofuels","c5__AFLV__food_processing_consumption","c50__EN__spec__mobility_car_incl_hybrid","c51__EN__spec__mobility_car_sharing","c52__EN__spec__mobility_emobility","c53__EN__spec__mobility_hydrogen","c54__EN__spec__mobility_plane","c55__EN__spec__mobility_public_transport_and_train","c56__EN__spec__mobility_renewable_other_than_bike","c57__EN__spec__mobility_transport_of_goods","c58__EN__spec__resources_foss","c59__EN__spec__resources_nucl","c6__AFLV__forestry","c60__EN__spec__resources_remains_waste","c61__EN__spec__resources_renew","c62__EN__spec__sales_coal_oil","c63__EN__spec__sales_elec","c64__EN__spec__sales_gas","c65__EN__spec__sales_heat","c66__EN__spec__sales_renew","c67__EN__spec__tech_fuel_cells","c68__EN__spec__tech_storage","c69__ETCS__commerce_sales_supply_chain","c7__BC__building_parts","c70__ETCS__commerce_tariffs_standing_orders","c71__ETCS__commercial_sector_unspecific","c72__ETCS__consulting_sector","c73__ETCS__economic_viability","c74__ETCS__economy_general","c75__ETCS__employment_workplace","c76__ETCS__personal_services_crafting","c77__FMTC__contracts","c78__FMTC__costs","c79__FMTC__financing_money_banks","c8__BC__buildings_unspecific","c80__FMTC__insurance_incl_companies","c81__FMTC__investment","c82__FMTC__public_fees","c83__FMTC__taxes","c84__HEC__health_care_social_mental_care","c85__HEC__health_physical","c86__IMWW__infrastructure_disposal_general","c87__IMWW__infrastructure_general","c88__IMWW__infrastructure_supply_general","c89__IMWW__mobility_sector_incl_infrastructure","c9__BC__construction_craft_sector","c90__IMWW__public_illumination","c91__IMWW__waste_sector_incl_infrastructure","c92__IMWW__wastewater_sector_incl_infrastructure","c93__IMWW__water_supply_sector_water_consumption","c94__INP__heavy_industry_incl_company_names","c95__INP__industrial_production_intermediate_products","c96__INP__industrial_sector_incl_company_names","c97__IT__information_technology","c98__LET__leisure_sports_gambling","c99__LET__tourism_travelling"
"c1__ACC__arts_and_crafts_multimedia",0.0456,0.0363,5e-04,0,0.0021,0,5e-04,0.0021,0.0011,0.0034,0,6e-04,0.0186,0.0011,0.0046,0.0042,0,0.0011,0,0.0041,0,0,0.0099,0.0166,0.0086,0,0,0.006,0.0137,0.0011,0,0,0.0058,0.0019,0.0083,0.006,5e-04,0.0284,0.0126,0.0073,0.0073,0.0184,0.0023,0.0139,0.0043,0.0028,0.017,0.0109,0.0173,0.0103,0.0047,5e-04,0.0012,0,0,0.0081,0.0252,0.002,0.0117,0.0181,0.0236,0.0074,5e-04,0.0128,0.0139,0.0276,0.0023,0.0017,0.0159,0.0024,0,0.0015,0.0071,0.0094,0.0033,0.0045,0.0121,0.0021,0,6e-04,0.0015,0.0038,0.007,0.0015,0.0163,7e-04,6e-04,0.0204,0.0086,0.0016,0.003,8e-04,0,0.0058,0,0.0315,0.0021,0.0163,0.0102,0.005,0.0064,0,0.003,0,0.0124,0.0075,5e-04,0,0.0042,0.0046,0.0087,0,0.0072,0.0025,0.0015,0.002,0,0,0.0056,3e-04,3e-04,0,0,7e-04,0,0.0042,0,7e-04,0,0,0.001,6e-04,7e-04,0.0195,0.0074,0.0012,6e-04,0.0089,0.0081,0.0213,0.0107,0,0,0.0218,0.0198,0.0202,0,0.0064,6e-04,0.0013,0.0053,0.0111,0,0,0.001,0.0198,0.0169,5e-04,0.0011,0,0.0016,0.0014,5e-04,0.0032,0.0114,0.0087,0.0058
"c10__CE__climate_protection_general_and_strategy",0.0363,0.5947,0.0077,0.0051,0.0437,0.006,0.0019,0.0208,0.0242,0.0231,0.0029,0.0049,0.3162,0.0246,0.0295,0.0439,0.0039,0.0036,0,0.0281,0.0139,0.0035,0.0975,0.2336,0.0834,7e-04,7e-04,0.076,0.0712,0.0049,0.0021,0.0043,0.0621,0.0572,0.0873,0.0588,0.015,0.3068,0.1183,0.1052,0.0968,0.1931,0.0111,0.1231,0.0472,0.0091,0.2222,0.1112,0.1324,0.131,0.0407,0.0093,0.0113,0.0024,0.0021,0.1389,0.1716,0.0117,0.1532,0.2459,0.2967,0.0654,0.0259,0.1433,0.1563,0.3239,0.0673,0.0702,0.2294,0.0342,0.0023,0.0176,0.0657,0.0978,0.0258,0.1224,0.1257,0.0312,0.0076,0.0181,0.0075,0.0534,0.1043,0.0262,0.219,0.0238,0.024,0.2144,0.1095,0.0451,0.0039,0.0077,0.0064,0.0715,0.0063,0.3529,0.0378,0.1612,0.0701,0.0311,0.0785,0,0.0243,0.0027,0.1392,0.0765,0.0125,0.0066,0.0355,0.0594,0.0603,0.001,0.0905,0.0547,0.0227,0.0247,0,0.004,0.0592,0.002,0.0129,0.0032,0,0.0088,0.005,0.0439,0,0.025,0.0101,0.0067,0.0288,0.0054,0.01,0.1958,0.0344,0.0056,0.0263,0.1342,0.0745,0.2244,0.1342,0.0038,0.0328,0.3065,0.3329,0.1985,0.0022,0.0819,0.0071,0.028,0.0647,0.1103,0.0016,0.0061,0.0258,0.204,0.2226,0.0237,0.0272,0.0069,0.0255,0.0326,0.0198,0.0479,0.1034,0.0796,0.0365
"c100__LEV__countries_not_Germany",5e-04,0.0077,0.0122,0.0017,0,0,5e-04,5e-04,7e-04,0,0,0,0.0089,0,0.0011,0.0024,0,0,0,0,0,5e-04,0.0012,0.0041,0.0038,0,0,7e-04,0.0049,0,0,6e-04,5e-04,0.0011,0.0023,0,0,0.0051,0.0011,0.0041,0.0075,0.0029,0,0.0012,0.0038,0,0.0038,0.0012,0.0035,0.003,0.0016,0,0,0,0,8e-04,0.0033,0,0.0041,0.0037,0.0046,8e-04,6e-04,0.0047,0.0024,0.0094,0.0017,0,0.0029,0,0,0.0017,7e-04,0.0011,0,0.0022,0.0045,0,0,0,0,0,0.0036,0.0011,0.004,0.0011,0,0.0026,0.0045,6e-04,0,0.0013,0,6e-04,0,0.0085,0,0.0044,0,0,0.0013,0,0.0011,0,0.0049,0.0015,6e-04,0.0011,0.0013,0,0,0,8e-04,0,0,0,0,0,0.0017,0,0,0,0,0,0,0.0013,0,0.0023,0.0011,0,7e-04,0,6e-04,0.006,0,6e-04,0.0017,0.0034,0.0017,0.0051,9e-04,0,6e-04,0.0046,0.0053,0.0022,0,0.0036,0,7e-04,5e-04,7e-04,0,0.0017,6e-04,0,0.0039,0,0,0,0,5e-04,0,0.0017,0.0017,0,0
"c101__LEV__EU",0,0.0051,0.0017,0.0081,0,0,0,0.001,0,5e-04,0,0,0.0055,0,0,0.0017,0,0,0,0,0,0.0022,0.0033,0.0036,9e-04,0,0,0.0014,0.0023,0,0,5e-04,0.0033,0,0.0017,9e-04,0.0016,0.0026,0.0016,0.0014,0.0026,0.0021,0,0.0012,9e-04,0,0.0038,0.0011,0.0012,0.0023,0,0.0012,0,0,0,0.0029,0.0032,0,0.0022,0.0021,0.004,9e-04,5e-04,0.0038,0,0.0038,0.0033,0.001,0.002,5e-04,0,0,0.0022,5e-04,6e-04,0.003,0.0026,5e-04,0,0,5e-04,0,0.002,6e-04,0.0049,0,0,0.0016,0.0033,9e-04,0,0,0,0.0011,0,0.0049,0,0.0028,9e-04,9e-04,9e-04,0,9e-04,0,0.0028,0.0014,0,0,0,0.0011,5e-04,0,5e-04,0.0016,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0,0,0,0,0,0.0054,0,0,0,0.0028,9e-04,0.0026,0.0032,0,5e-04,0.0036,0.0051,0.0014,0,0.0036,0,0,0.0021,0.0016,0,0.0017,0,0.0024,0.0014,0,0.0011,0,0,5e-04,0,0,5e-04,5e-04,0
"c102__LEV__fed_state_BAY",0.0021,0.0437,0,0,0.0589,0,9e-04,0.0021,0.0087,0.0067,0,0.0016,0.0308,0.0028,0.0065,0.0265,0.0015,0.0011,0,0.0037,0.0162,0,0.0113,0.0291,0.0086,0,0,0.0024,0.0126,7e-04,0,0,5e-04,0.0098,0.0101,0.0041,0,0.0297,0.0155,0.0103,0.013,0.0169,5e-04,0.013,0.0033,0.0029,0.0295,0.0112,0.0065,0.0075,0.0027,0.0013,0,0.0012,8e-04,0.0148,0.0115,0.0011,0.0208,0.0201,0.0296,0.0083,0.0087,0.0201,0.0213,0.0304,0.0037,0.0154,0.0276,0.0084,8e-04,7e-04,0.0094,0.008,6e-04,0.0109,0.0154,0.0029,6e-04,0.0017,0,0.0014,0.008,0,0.0182,0.0074,0.008,0.0236,0.0151,0.0088,7e-04,0.0023,0.0021,0.0119,7e-04,0.0369,0.0076,0.0103,0.0076,0.0054,0.0167,0,0.0083,5e-04,0.0302,0.0077,0.0019,0.0016,0.0088,0.0014,0.0021,0.001,0.0114,0.0063,0.001,0.0035,0,0,0.0055,0,0.0034,0.0017,0,0.0028,6e-04,0.0215,0,0.0011,0.0027,0.0011,0.0044,7e-04,0.0058,0.0244,0.006,0,0.0017,0.0135,0.01,0.0222,0.0085,0,0.0061,0.0332,0.0346,0.0301,6e-04,0.0078,5e-04,8e-04,0.0092,0.0065,0,0,0.0071,0.0211,0.0342,0.0016,0.0052,0.0014,0.0053,0.0027,0.003,0.0068,0.0055,0.0051,0.0024
"c103__LEV__fed_state_BER",0,0.006,0,0,0,0.006,0,5e-04,7e-04,5e-04,0.0017,0,0.0036,0.0026,5e-04,0,0,0,0,0.0012,0,0,0.0022,0.0031,0.0026,0,0,0.0021,0,0,0,0,0.001,0.0043,0,0.0015,5e-04,0.0038,0.0021,0.001,0.0017,0.0022,0,5e-04,5e-04,0,0.0017,0.0015,0,5e-04,5e-04,0,0,0,0,0,0.0027,0,0.0016,0.0048,0.0037,0.0022,0,0.0016,0,0.004,0.0016,5e-04,0.0038,5e-04,5e-04,0,0,0.0034,0,0.001,5e-04,0,0,0,5e-04,5e-04,0.0027,0.0016,0.0015,0.0016,0,0.001,0,0,0,0,0,0,0,0.0016,0,0.0024,0,0,0,0,0,0,0,5e-04,0,0,0,0,0.0012,0,0.006,0.001,0,0.0016,0,0,0.0028,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0.0017,5e-04,0.0017,0.0027,5e-04,0,0.0017,0.0031,0.0043,7e-04,0,0.0027,0,0,0,0.0016,0,0,0,0.0039,0.0043,0,0.0017,0,0,0.0017,0,0.0017,5e-04,5e-04,0.0017
"c104__LEV__fed_state_BRAND",5e-04,0.0019,5e-04,0,9e-04,0,0.0027,5e-04,3e-04,0,0,0,0.0022,0,0,0.0014,3e-04,0,0,6e-04,6e-04,0,5e-04,0.0019,5e-04,0,0,5e-04,6e-04,0,0,0,5e-04,0,0.0012,0,0,0.0013,0.0012,0,0.0011,6e-04,0,5e-04,5e-04,0,9e-04,0.0019,0.0013,8e-04,5e-04,0,0,0,0,0,6e-04,0,0,5e-04,0.0012,6e-04,0,5e-04,9e-04,0.0011,0,0,6e-04,0,0,0,0,0,0,5e-04,5e-04,0,0,0,0,0,5e-04,0,0.001,0,0,0,0,6e-04,0,0,0,6e-04,0,0.0019,0,0,6e-04,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,5e-04,0,0,0,0,5e-04,0,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0.0012,6e-04,0,0,5e-04,5e-04,0.0013,0.001,0,0,0.001,0.0011,0.0012,0,3e-04,0,0,0.0013,0,0,0,0,5e-04,9e-04,0,0,0,0,0,0,0,0,5e-04,5e-04
"c105__LEV__fed_state_BRE",0.0021,0.0208,5e-04,0.001,0.0021,5e-04,5e-04,0.0208,5e-04,0.0016,0,5e-04,0.0138,0.0039,0.0016,0.0011,0.0017,0,0,0.001,0,0,0.0027,0.0102,0.0037,0,0,0.0066,0.0066,0,0,5e-04,0.0035,5e-04,0.005,0.0031,5e-04,0.0151,0.0049,0.0082,0.0068,0.01,0,0.0104,0.001,0,0.0075,0.0031,0.0067,0.0051,0.0021,0,0,0,0,0.0069,0.0071,0,0.0045,0.0137,0.0092,0.0027,0.0011,0.0066,0.0045,0.0129,0.0022,0.0027,0.0091,0.0022,0,5e-04,0.005,0.008,0.0015,0.0058,0.0042,0.0016,0.0011,0.0011,0,0.0041,0.0065,0.0011,0.0121,0,0,0.0075,0.0011,0,0,0,0.0017,0.0028,0,0.0139,0,0.0029,0.0043,0.0011,0,0,0,5e-04,0.0067,0.001,0,0,0,0.0017,0.0016,0,0.0038,0.0033,0.001,0.0022,0,0.0011,5e-04,0,0.0032,0,0,0,0,0.0028,0,5e-04,0,0,0.0028,0,0.0016,0.0077,0.0022,0,0.0017,0.007,0.0042,0.0123,0.0074,0,0.0017,0.0155,0.015,0.008,0,0.0032,7e-04,0.0021,0.0031,0.0054,0,5e-04,0.0016,0.0115,0.0152,0,0.0023,0,0.0016,0.0033,5e-04,0.0034,0.0063,0.0054,0.0042
"c106__LEV__fed_state_BW",0.0011,0.0242,7e-04,0,0.0087,7e-04,3e-04,5e-04,0.032,0.0059,0,0,0.0196,0.0027,0.0023,0.0076,0.001,0.0011,0,7e-04,0,0,0.0045,0.0146,0.0083,0,0,0.0054,0.004,0.0016,0,0,0.0033,0.0032,0.0059,0.0022,0,0.0149,0.008,0.0035,0.0035,0.0123,6e-04,0.006,0.0012,0.0011,0.0123,0.0067,0.006,0.0035,0.0034,0,5e-04,0.0019,0,0.0043,0.0102,0,0.012,0.0105,0.0159,0.0065,0.0039,0.0123,0.0151,0.0168,0.0018,0.0035,0.0135,0.0066,8e-04,0.0012,0.0058,0.0074,0,0.008,0.0067,0.0015,0,6e-04,0,0.0016,0.004,0,0.0126,0.0015,0.0035,0.0093,0.0104,0.0047,7e-04,0,0,0.0059,7e-04,0.0215,0.0019,0.0078,0.0034,0.0027,0.0087,0,0.0011,5e-04,0.0156,0.0048,0.0027,0.0016,0.0046,0.0024,7e-04,0,0.007,5e-04,0,0.0016,0,0.0016,0.0023,0,0.0025,0.0013,0,0.0018,6e-04,0.0065,0,5e-04,0.0019,0.0011,0.0045,0.0023,0.0023,0.0071,0.0035,0.0016,0.0011,0.0075,0.0075,0.0151,0.0045,0.0012,0.0024,0.02,0.0198,0.0133,0,0.0045,0,0.0033,0.0039,0.0043,0,0,0.0019,0.0075,0.018,0,0.0023,7e-04,0.001,0.0023,0.0037,0.0024,0.0077,0.0026,0.0013
"c107__LEV__fed_state_HES",0.0034,0.0231,0,5e-04,0.0067,5e-04,0,0.0016,0.0059,0.0284,0,0,0.0181,0.0016,0.0039,0.009,0.0012,5e-04,0,0.0024,5e-04,0.001,0.0067,0.0174,0.0061,0,0,8e-04,0.0045,0,0,0,0.001,0.0039,0.0085,0.0045,5e-04,0.0182,0.0144,0.0088,0.0029,0.0135,6e-04,0.0095,0.0023,5e-04,0.0148,0.0105,0.006,0.0049,0.0026,0,0,0,0,0.0043,0.0086,0.0011,0.0103,0.0172,0.0202,0.0077,0.001,0.005,0.0085,0.011,0.0024,0.0073,0.0139,0.005,0.0018,5e-04,0.008,0.0076,9e-04,0.0065,0.0062,0.001,5e-04,0.0025,5e-04,0.0021,0.006,0,0.0094,0,0.0037,0.0117,0.0077,0.0038,0.001,0.0011,0,0.0044,0,0.0147,0.0028,0.0042,0.0035,0.0038,0.005,0,0,0,0.0094,0.0069,0,0,0.0018,0.0018,0.0046,0,0.0039,0,0.002,5e-04,0,0,0.0076,0.0017,0,0,0,0,0,0.0037,0,0,0,0,0,0.0017,0,0.0149,0.0023,0.0016,0.0017,0.0042,0.006,0.0161,0.0079,0,0.0041,0.0199,0.0191,0.0119,0,0.0064,5e-04,0.0039,0.0054,0.0079,0,0,0.0027,0.0154,0.0173,5e-04,0.0016,0,0.0023,0.0015,0.0018,0.0027,0.0064,0.0061,0.0034
